,Specific Location,Amenities,Bedroom,Bathroom,Toilet,Description,Location,New,Duplex,Lux,Estate,locationbed,estate_price,terraced_price,new_price,value,location_rank,rank,Price
300, before fara park after crown estate in sangotedo in ajah axis. crown estate ajah lagos,11,6,5,6,"A Freshly Built Superb 4 Bedrooms Bungalow with BQ and Penthouse in a quiet, gated, guarded and very secure Estate with easy access roads, street lights, good roads, clean water and good light before Fara ... New. Cheap. Boys Quater. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
301," around crown estate, sangotedo, ajah axis, lekki. sangotedo ajah lagos",6,3,3,3,"A Newly Built Luxury 2 Bedrooms Flat in a very cool, serene, seriously guarded, well gated and highly secured Estate with clean water, good light, easy access to the road and close to the road ... New. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. Street Lights. Water Treatment. ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
302, greenville estate badore ajah badore ajah lagos,5,3,2,3,"Clean and spacious 3 bedroom flat upstairs with masters bedroom ensuite only, kitchen and store, spacious rooms with wardrobe inside an interlocked compound not far from the interlocked road inside the estate. ... Renovated. Big Compound. 24 Hours Security. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
303, within an estate sangotedo ajah lagos,7,4,3,4,"This is a family friendly apartment with wardrobes, kitchen cabinets, a store and four toilets. Rent: N1.1m Agency Fee: N110k Legal Fee: N55k Caution: N110k Service Charge: N10k a month (Refuse disposal, Estate Security, Compound Security, Cleaning of ... Serviced. New. Dry. Security. All Room Ensuit. Big Compound. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Church Nearby. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
304," gated estate, addo road ado ajah lagos",5,3,2,3,"Brand new tastefully built flat in a gated estate on addo road Ajah before addo round about, it built with arct design, tastefully finished decorated POP, all rooms ensuite with quest toilet, gass cooker, fitted ... ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
305," gated estate, addo road ado ajah lagos",5,3,2,3,"Brand new tastefully built flat in a gated estate on addo road Ajah before addo round about, it built with arct design, tastefully finished decorated POP, all rooms ensuite with quest toilet, gass cooker, fitted ... ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
306, ajah ajah lagos,2,1,1,1,"A single room boys quarter is available in an estate with security,light, interlock compound clean water, personal toilet and bathroom but no kitchen. Standby generator as from 7 pm till day brake. ... ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
307, greenville estate badore ajah lagos,4,2,2,2,"The apartment is a tastefully finished one bedroom apartment located in a gated estate and serene neighborhood. It is relatively new house, painted both internally & externally and compound is finished with interlocks. Ceiling is ... Serviced. New. Big Compound. ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
308, ado ado ajah lagos,5,3,2,3,2 bedroom Semi Detached Bungalow House for rent Ado Ado Ajah Lagos ... ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
309, ajah lagos,6,3,3,3,3 Bedroom Flat all ensuite with visitor's toilet in Ajah. 1m (rent ) Agency -10% Legal. -5% Caution - 50K Service Charge -150K ... ...,ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
310, gated street by junction/harmony estate bustop langbasa road addo ajah ado ajah lagos,4,2,2,2,"Spacious 3 bedroom flat with big kitchen, big sitting room and dinning and it comes with split Ac in the sitting room and Ac in masters bedroom. Prepaid meter and interlocked compound. ... Cheap. Big Compound. 24 Hours Security. Water Treatment. ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
311, before sangotedo market in sangotedo in ajah axis lekki. sangotedo ajah lagos,6,3,3,3,"A Well Kept 2 Bedrooms Flat in a peaceful, gated and secure area with good roads, very close to the road, clean water, easy access to the roads and good light in Sangotedo in Ajah ... Cheap. Renovated. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Church Nearby. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
312, ajah lagos,4,2,2,2,"Newly build 2 bedroom is available for rent at Ajah,price 650k for upstairs ,600k for downstairs yearly ... ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
313, chinese road junction bustop addo - langbasa rd ajah ado ajah lagos,5,3,2,3,"Renovated 2 bedroom flat rooms ensuite with kitchen, 2 windows in each room for cross ventilation, spacious sitting room and rooms inside floored compound facing interlocked road. ... Renovated. All Room Ensuit. Big Compound. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
314, around the new shoprite in sangotedo in ajah axis lekki. sangotedo ajah lagos,10,5,5,5,"A Newly Built Nice 4 Bedrooms Duplex in a very cool, seriously guarded, well gated and highly secured Estate with good roads, easy access to the roads, good light, clean water, very close to the ... Serviced. New. Cheap. Boys Quater. Cctv Cameras. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. 24 Hours Electricity. Pop Ceiling. Children Play Ground. Child Care. Water Treatment. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
315, remlek estate badore ajah badore ajah lagos,2,1,1,1,"Decent and Clean Miniflat with Spacious sitting room, POP ceiling, interlocked compound facing interlocked road inside the estate. ... Renovated. Security Doors. Pop Ceiling. Water Treatment. ...",ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,500000
316, greenville estate badore ajah badore ajah lagos,2,1,1,1,New Miniflat inside an interlocked compound. ... New. Big Compound. Pop Ceiling. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
317, greenville estate badore ajah badore ajah lagos,2,1,1,1,"Renovated Miniflat with POP, modern kitchen and spacious sitting room. ... Cheap. Renovated. Pop Ceiling. 24 Hours Security. ...",ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,500000
318, teran x estate near bleco super market olokonla ajah lagos,5,3,2,3,A very good road and security Wise light u will not regret it ... ...,ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,1100000
319, elegant court estate mobil road illaje ajah ilaje ajah lagos,7,4,3,4,"Clean 3 bedroom flat upstairs all rooms ensuite, spacious sitting room, heat extractor in the kitchen, study room inside an interlocked mini Estate compound facing Mobil road Illaje Ajah ... Renovated. All Room Ensuit. Big Compound. Security Doors. Pop Ceiling. 24 Hours Security. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
320, royal palm will estate remlek badore ajah lagos,5,3,2,3,This two bedrooms is new and good looking ... ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
321," majek, after crown estate in ajah axis lekki. crown estate ajah lagos",8,4,4,4,"A Brand New 3 Bedrooms Flat in a guarded and gated area of Majek with good light, easy access to the roads and clean water after Crown Estate in Ajah axis Lekki For Rent. ... New. Cheap. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Church Nearby. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
322, peninsula estate ajah lagos,7,4,3,4," *Lovely 3 bedroom flat, master ensuite, tiled, kitchen cabinet+water heater, pop, wardrobe, gated, good road networking, parking space etc @ rotea close, Penniisulla garden estate ajah it’s going for #1.6m negotiable* ... ...",ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,1600000
323, anu crescent estate badore ajah lagos,4,2,2,2,EXQUISITELY FINISHED BRAND NEW 2 BEDROOM FLAT FOR RENT FEATURES -Large Sitting Room. -All Rooms Ensuite -Fitted Kitchen -Visitor's Toilet. -Water Heater -Stylish Wardrobe -Shower Cubicles -POP Finished -Water Treatment Plant -Excellent Parking Space. -Stamping Floor. Interlocked Road. -24Hrs Estate Security -Great Lighting -House Security Post. -Generator House. -Serena Environment. E.T.C ... All Room Ensuit. Big Compound. 24 Hours Electricity. Pop Ceiling. 24 Hours Security. ...,ajah,1,1,1,1,ajah2,800000.0,800000.0,800000.0,4,21,4,1000000
324, powerline estate opp sunny villa estate badore ajah badore ajah lagos,5,3,2,3,"Renovated 2 bedroom flat all rooms ensuite spacious sitting room and rooms, good for young couple not far from the major road. ... Renovated. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
325," onison street, lakowe lakowe ajah lagos",5,3,2,3,Newly buit 2bedroom flat in a cerene neighbourhood ... Serviced. New. Cheap. Security. All Room Ensuit. Supermarket Nearby. Restaurants Nearby. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. Water Treatment. Church Nearby. ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
326, anu crescent badore ajah lekki badore ajah lagos,4,2,2,2,EXQUISITELY FINISHED BRAND NEW 2 BEDROOM FLAT FOR RENT FEATURES -Large Sitting Room. -All Rooms Ensuite -Fitted Kitchen -Visitor's Toilet. -Water Heater -Stylish Wardrobe -Shower Cubicles -POP Finished -Water Treatment Plant -Excellent Parking Space. -Stamping Floor. Interlocked Road. -24Hrs Estate Security -Great Lighting -House Security Post. -Generator House. -Serena Environment. E.T.C ... New. All Room Ensuit. Pop Ceiling. ...,ajah,1,1,1,1,ajah2,800000.0,800000.0,800000.0,4,21,4,1000000
327, ajah lagos,4,2,2,2,Brand new 2 bedroom flat for rent in Ajah. The house is located in a clean and secured environment. Its also very close to the main road. ... ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
328, ogunfayo ibeju-lekki sangotedo ajah lagos,2,1,1,1,"Very clean and durable flat. Water, good light. Nice facilities. A spacious sitting room. Flat to share. Agreement 20,000.00 No Agency. ... ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
329," cooperative villa road, badore badore ajah lagos",12,6,6,6,"Tastefully finished and well-managed bungalow for rent in Badore, well-managed road. The apartment comes with a swimming pool, children playground, CCTV camera the water treatment plant, generator house, and security house, pet house, etc. ... Dry. Boys Quater. Cctv Cameras. Restaurants Nearby. Drainage System. Church Nearby. Mosques Nearby. Security. All Room Ensuit. Supermarket Nearby. Parking Space. Swimming Pool. Pop Ceiling. Children Play Ground. Child Care. Water Treatment. ...",ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
330, red roof bustop langbasa road ajah ado ajah lagos,3,2,1,2,Brand new Miniflat with 2 toilets spacious sitting room and spacious kitchen. ... New. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
331, majek opp fara park after crown estate in ajah axis lekki. crown estate ajah lagos,2,1,1,1,"A Newly Built Room Self-contained in a decent, gated and guarded area of Majek with clean water, easy access to the roads and good light opposite Fara Park after Crown Estate in Ajah axis Lekki ... New. Cheap. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Church Nearby. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
332, greenville estate badore ajah badore ajah lagos,2,1,1,1,Renovated Miniflat with spacious kitchen and sitting room. ... Renovated. Security Doors. Pop Ceiling. Water Treatment. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
333," mayfair garden, awoyaya, ajah axis lekki. awoyaya ajah lagos",8,4,4,4,"A Well Finished 3 Bedrooms Bungalow with BQ and Penthouse in a very well maintained, serviced, serene, well gated, seriously guarded and highly secured Estate with good street lights, good access roads, clean environment, good ... Serviced. New. Cheap. Boys Quater. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. 24 Hours Electricity. Pop Ceiling. Children Play Ground. Child Care. Water Treatment. ...",ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,1500000
334, marshy hill estate akins bustop off addo road ajah ado ajah lagos,7,4,3,4,"Brand new 3 bedroom flat all rooms ensuite with POP ceiling, water heater bath, front and back balcony, modern kitchen cabinet and wardrobe inside an interlocked compound inside a gated Estate. Downstairs N1.1m Rent, Upstairs ... New. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
335, an estate in abijo after crown estate in ajah axis lekki. abijo ajah lagos,6,3,3,3,"A Very Spacious 2 Bedrooms Flat in a gated, secured and cool Estate with clean water, good light and easy access roads in Abijo after Crown Estate in Ajah axis Lekki For Rent. ... Cheap. Renovated. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Fast Internet. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Street Lights. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
336, ajah ajah lagos,2,1,1,1,"A single room boys quarter is available in an estate with security,light, interlock compound clean water, personal toilet and bathroom but no kitchen. Standby generator as from 7 pm till day brake. ... ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
337, ajah lagos,6,3,3,3,Decent 3 bedroom flat for rent in Ajah. Only 4 people in a compound ... ...,ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
338, badore ajah lagos,6,3,3,3,"VERY DECENT 3 BEDROOMS FLAT, ALL ROOMS ENSUITE, FULLY TILED WITH WARDROBES, POP CEILING, WATER HEATER @ SEASIDE ESTATE, BADORE AJAH RENT: #800,000 P/A ... Serviced. New. Renovated. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
339," within an estate, off ado road. ado ajah lagos",7,4,3,4,"Three bedroom flat, ground floor available. No BQ. Rhe ... Renovated. All Room Ensuit. Supermarket Nearby. Restaurants Nearby. 24 Hours Security. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
340, gated street by junction bustop opp harmony estate langbasa road ajah ado ajah lagos,5,3,2,3,"Brand new 2 bedroom flat pall rooms ensuite with visitors toilet, modern kitchen with store POP ceiling, shower cubicle bathroom.with water heater, spacious sitting room with dinning section. ... New. All Room Ensuit. Big Compound. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
341," blenco supermarket before sangotedo, after lbs. peninsula estate ajah lagos",9,5,4,5,"Tastefully Finished New 4 Bedrooms Duplex with BQ in a very serene, lovely, well gated, seriously guarded and highly secured Estate with clean water, good lighting, very good roads, easy access roads, good light, very ... Serviced. New. Cheap. Boys Quater. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Children Play Ground. Child Care. Water Treatment. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
342, meridian luxury park estate awoyaya ajah lagos,7,4,3,4,"*Update* Only one unit remaining! ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ Luxury newly built 3 bedroom terraced apartment with all rooms ensuite with top-class finishing in a well-interlocked, secure estate. Rent per annum: 1,200,000 Service Charge: 250,000 Agency: 120,000 Agreement: 120,000 Caution Fee: 100,000 ... Serviced. New. Security. All Room Ensuit. Security Doors. Parking Space. 24 Hours Electricity. Pop Ceiling. Children Play Ground. 24 Hours Security. Street Lights. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
343, .. sangotedo ajah lagos,6,3,3,3,Tastefully built 3 bedroom flat for rent in Sangotedo. Price Breakdown ====== Annual rent: N1.4m Annual Service Charge: 150k 10% Refundable caution fee: 140k 10% Legal fee (agreement): 140k 10% Agents fee: 140k ... ...,ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,1400000
344," majek after fara park, after crown estate in ajah axis lekki. crown estate ajah lagos",8,4,4,4,A Well Kept Very Spacious 3 Bedrooms Flat along the express road in a guarded and gated Compound in Majek with good light and clean water after Fara Park and after Crown Estate in Ajah ... Cheap. Renovated. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Church Nearby. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Water Treatment. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
345," behind abraham adesanya round about, ajah lagos",11,6,5,6,A very affordable 5 Bedroom duplex For Rent N1.2M Legal 10% Agent 10% Caution N60k Total package N1.5M ... ...,ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
346, lagum view estate opp catholic church ajah lagos,12,6,6,6,A bed room duplex for rent in lagum view estate Opp Catholic church Ado Road Ajah Lagos State ... ...,ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
347, before blenco supermarket before sangotedo in ajah axis lekki. olokonla ajah lagos,6,3,3,3,"A Very Decent 3 Bedrooms Flat in a quiet, well gated and highly secured Estate with clean water, good light, easy access to the road and very close to the road before Blenco Supermarket in ... New. Cheap. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. Street Lights. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
348, emerald housing estate ilaje ajah lagos,8,4,4,4,The property is a 5 bedroom detached house located in a serene and highly secured gated estate off Mobil Road Ilaje. It is painted both internally and externally. Ceiling is finished with POP and Floor ... Serviced. Cheap. Renovated. Water Treatment. ...,ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,2500000
349, general paint bus stop just by abraham adesanya estate abraham adesanya estate ajah lagos,9,5,4,5,4 bedroom Semi detached house Feature: Gym Swimming pool Spacious compound Good road Good water ... New. Security. All Room Ensuit. Big Compound. Gym. Security Doors. 24 Hours Electricity. Swimming Pool. 24 Hours Security. Street Lights. Water Treatment. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
350, sangotedo sangotedo ajah lagos,7,4,3,4,"Beautiful 3 bedroom flat for rent at in an estate at Ajah, off Lekki expressway. Fully fitted kitchen Inverter 24hrs light Heat extractor AC in all rooms and kitchen Spacious sitting room Fitted modern wardrobes Tight security. Refundable caution fee: 150k ... ...",ajah,1,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,2,29,5,1300000
351, lekki scheme 2 ajiwe ajah lagos,10,5,5,5,Newly Built 4bedroom Flat at Lekki Scheme 2...rent 2m ... ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
352, after lbs in olokonla in ajah axis lekki. olokonla ajah lagos,6,3,3,3,"A Very New 2 Bedrooms Flat in a quiet, safe, guarded, well gated and highly secured Estate with good light, clean water and easy access roads after the Lagos Business School in Olokonla in Ajah ... New. Cheap. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
353, olokonla olokonla ajah lagos,7,4,3,4,A very uniquely spacious 3 bedrooms with features as follow: A well interlocked road. A big parking space Large living room with a guest toilet and dinning session cabinet kitchen spacious bedrooms all ensuit uniques masters' bedrooms design balconies ... ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
354, loshoro..school gate badore ajah lagos,2,1,1,1,Room.and parlour to rent at loshoro..school gate.. ... ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
355, reservation estate langbasa road owode addo ajah ado ajah lagos,5,3,2,3,"Brand new 2 Bedroom Flat all rooms ensuite POP ceiling water heater bathroom modern kitchen with prepaid meter, interlocked compound facing interlocked road inside the estate. ... New. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
356, off mobil road ilaje ajah lagos,4,2,2,2,"Fully serviced 2 Bedroom flat to let, off Mobil road, Ajah, Lagos. N1m/annum Service Charge: N500K/Annum ... Serviced. All Room Ensuit. Cctv Cameras. Big Compound. Parking Space. 24 Hours Electricity. Pop Ceiling. 24 Hours Security. ...",ajah,1,1,1,1,ajah2,800000.0,800000.0,800000.0,4,21,4,1000000
357, sangotedo ajah lagos,4,2,2,2,"VERY DECENT 2 BEDROOM FLAT, ALL ROOMS ENSUITE, FULLY TILED WITH WARDROBES, POP CEILING, WATER HEATER @ CANAAN ESTATE, SANGOTEDO AJAH Rent: #750,000 P/A ... New. Renovated. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
358, awoyaya bus stop awoyaya ajah lagos,7,4,3,4,"Standard 3bedroom flat at awoyaya, upstair with massive sitting rooms with mordern facilities ... Serviced. Cheap. Renovated. Mosques Nearby. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Pop Ceiling. 24 Hours Security. Drainage System. Water Treatment. Church Nearby. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
359, sangotedo ajah lagos,6,3,3,3,Decent and well tiled 3 bedroom for rent in Ajah It's in a clean and secured environment ... ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
360, red roof bustop addo - langbasa rd ajah ado ajah lagos,3,2,1,2,"Spacious Miniflat with large sitting room and dinning section, spacious room ensuite with visitors toilet and POP ceiling. ... New. All Room Ensuit. Big Compound. Security Doors. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
361, greenville estate badore ajah badore ajah lagos,2,1,1,1,"Clean and Portable Miniflat perfect for a Bachelor or spinster with 2 windows in the room and sitting room inside an interlocked compound with own prepaid meter. Rent N500k upstairs, Downstairs Rent N450k ... New. Cheap. Big Compound. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,500000
362, crown estate crown estate ajah lagos,8,4,4,4,Do you know Crown estate lekki peninsula just after the popular shop right at sangotedo eti-osa local government area ajah Lagos. I have a brand new distress 4bedroom duplex with a mini flat BQ on ... ...,ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,3000000
363, esfort estate addo road ajah ado ajah lagos,2,1,1,1,Standard Miniflat with POP inside the main building inside interlocked compound facing interlocked road inside the Estate with tight security. Owner will put the place in order and also paint with few day after receipt ... Renovated. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. Water Treatment. ...,ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,700000
364, estate after crown estate in ajah axis lekki. abijo ajah lagos,6,3,3,3,"A 2 Bedrooms Flat in a well gated and guarded Estate with easy access road, good light, clean water and very close to the road after Crown Estate in Ajah axis Lekki For Rent. ... Cheap. Renovated. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. Street Lights. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
365," abraham adesanya estate, ajah lagos",2,1,1,1,Very lovely apartment in good location of the estate Rent 400k Agency and agreement 10% each ... ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
366, marshy hill estate ado ajah lagos,7,4,3,4,Clean three bedroom flat Ensuite and spacious rooms. ... Renovated. All Room Ensuit. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
367, chevron alternative ajah lagos,9,5,4,5,"Features,a large BQ,a large compound, CCTV cameras both interior and exterior,central speakers in all the rooms, and toilet,Jacuzzi in the masters bedroom,cooker,heat extractor,microwave,oven and inverter power. ... ...",ajah,1,1,1,1,ajah5,3000000.0,3000000.0,3000000.0,4,43,8,3500000
368, gated estate opp emerald estate mobil road illaje ajah ilaje ajah lagos,5,3,2,3,"Modern 2 bedroom flat all rooms ensuite with fitted kitchen, POP.ceiling visitors toilet with 2 windows in each room for cross ventilation. ... Cheap. All Room Ensuit. Security Doors. Pop Ceiling. 24 Hours Security. Water Treatment. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
369," destiny homes estate in abijo, after fara park, after crown estate in ajah axis lekki. crown estate ajah lagos",8,4,4,4,"A Very New 3 Bedrooms Flat in a quiet, well gated and highly guarded Destiny Homes Estate with clean water, good light, easy access to the roads, good roads and very close to the express ... New. Cheap. Big Compound. Restaurants Nearby. Security Doors. 24 Hours Security. Drainage System. Street Lights. Church Nearby. Security. All Room Ensuit. Supermarket Nearby. Fast Internet. Parking Space. Pop Ceiling. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
370, ajose street badore ajah badore ajah lagos,7,4,3,4,"Tastefully Finished 3 Bedroom Terrace duplex with 2 sitting room spacious kitchen, rooms POP ceiling, water heater bathroom, water treatment plant, prepaid meter, interlocked compound facing interlocked road. ... Renovated. All Room Ensuit. Big Compound. Security Doors. Parking Space. 24 Hours Security. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1250000
371, gated street by junction bustop harmony estate langbasa rd ajah ado ajah lagos,3,2,1,2,Brand new spacious Miniflat with 2 toilets spacious kitchen with store and balcony ... New. All Room Ensuit. Big Compound. Pop Ceiling. 24 Hours Security. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
372, ajah lagos,6,3,3,3,Newly built 3bedroom service Apartment with swimming pool for rent. Rent-1. 5m S/c-400k Refundable Caution-150k Agent-150k Legal-150k ... ...,ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,1500000
